date,obs,sim,bf
1987-06-18 00:00:00 +0000 UTC,0.0002826909839006433,0.0003240908249680119,0.00029237688415716345
1987-06-19 00:00:00 +0000 UTC,0.0002390023739557283,0.0003059006211752083,0.00027596668461619007
1987-06-20 00:00:00 +0000 UTC,0.000210733272502083,0.00028873137659671244,0.0002604775382212302
1987-06-21 00:00:00 +0000 UTC,0.00018503410189523668,0.0002725257879868241,0.0002458577491415497
1987-06-22 00:00:00 +0000 UTC,0.00017989425551954354,0.00031229699511117157,0.0003028110996263936
1987-06-23 00:00:00 +0000 UTC,0.00019017393295302497,0.0005051741895188334,0.00035656783677883434
1987-06-24 00:00:00 +0000 UTC,0.0002210129499355644,0.0005052706398855858,0.00033926375431355223
1987-06-25 00:00:00 +0000 UTC,0.00020045359506860156,0.00035962967126237976,0.00032022194147888073
1987-06-26 00:00:00 +0000 UTC,0.00019017393295302497,0.00036541210346899435,0.00034397409414792273
1987-06-27 00:00:00 +0000 UTC,0.00019017393295302497,0.00043502320183118267,0.0003290013157969115
1987-06-28 00:00:00 +0000 UTC,0.00020302352591540054,0.0004118513500566114,0.0003812880780755917
1987-06-29 00:00:00 +0000 UTC,0.00023129261205114102,0.0005905433487892751,0.00041385307575845707
1987-06-30 00:00:00 +0000 UTC,0.0002158731035598713,0.0005479107425499316,0.00042058732959799163
1987-07-01 00:00:00 +0000 UTC,0.0002222979077000115,0.0004917323415260788,0.0003969810789773095
1987-07-02 00:00:00 +0000 UTC,0.0002158731035598713,0.00041534322730071437,0.0003746997733303598
1987-07-03 00:00:00 +0000 UTC,0.00019659872177526033,0.0003969845584411801,0.0003604723946353026
1987-07-04 00:00:00 +0000 UTC,0.00019531376401081326,0.00041466076614843784,0.0003756464341292871
1987-07-05 00:00:00 +0000 UTC,0.00024157228948462243,0.0004541041205955333,0.00035456257533283346
1987-07-06 00:00:00 +0000 UTC,0.00024157228948462243,0.00037096267836787524,0.0003346620875506134
1987-07-07 00:00:00 +0000 UTC,0.00024414220501351656,0.0004061735974684322,0.00038663112842562676
1987-07-08 00:00:00 +0000 UTC,0.00025699179797589216,0.000653336781541513,0.0004356833096686948
1987-07-09 00:00:00 +0000 UTC,0.0006296299172952596,0.0010054962754946853,0.00048198234548291283
1987-07-10 00:00:00 +0000 UTC,0.0013646264325467988,0.00137086339499484,0.0005256827613054848
1987-07-11 00:00:00 +0000 UTC,0.0011795923919231813,0.001217318135925944,0.0005669304095443976
1987-07-12 00:00:00 +0000 UTC,0.0012438403414171545,0.0012686909503150509,0.00060586295636841
1987-07-13 00:00:00 +0000 UTC,0.0014057450810091052,0.0010042805638727952,0.0006399979682473604
